#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
𩳈,自鬼 zg,自鬼 zg,自鬼 zg,鬼自gz｜自鬼zg,自鬼 oa,th,,,
𪌉,麥斗 md,來斗 ld, lu,麥斗md,木斗 ej,sw,,,
𪐺,黑禾 hh,{里}禾 lh,黑禾 hh,黑禾hh,黑禾 px,lf,,,
顿,屯人 tr,屯页 ty,屯人 tr,页屯yt,一页 fw,gb,屯人 tr,一一 hh,一一hh
讀,言賣 ym,訁貝 yb, wb,言賣ym,言貝 so,yf,,讠土 at,
読,言儿 ye,訁儿 ye, wj,言儿ye｜言壳yk,言儿 sp,yf,,讠土 at,
獨,犭虫 qi,犭虫 qi,犭虫 qi,犭虫qi｜犭蜀qu,犭虫 mc,qt,,丿丨 ps,
竺,𥫗二 ve,竹二 ve,𥫗二 ve,𥫗二ve,⺮二 rm,tf,𥫗二 ve,⺮一 gh,⺮一gh
賭,貝者 bv,貝日 bo, oo,貝者bv,貝日 oo,mf,,丨土 st,
斁,罒攵 sw,⺫攵 sw,⺫攵 sw,罒攵sw｜攵幸wx,罒攵 yh,lf,,丨丿 sp,
覩,見者 jv,耂見 lj, le,見者jv,耂見 qe,ft,,土丨 ts,
闍,門日 mo,門日 mo,門日 mo,門者mv,門日 ao,uf,,丨日 sl,
姤,女口 nk,女口 nk,女口 nk,女后nh,女口 bd,vr,女口 nk,女丿 np,女丿np
犢,牜貝 nb,牜貝 nb,牛貝 nb,牛賣nm,牜貝 qo,tr,,丿土 pt,
妬,女石 nu,女石 nu,女石 nu,女石nu,女石 bm,vd,,女一 nh,
篤,𥫗馬 vm,竹馬 vm,𤣩鳥 vm,𥫗馬vm,⺮馬 rn,tc,,⺮丶 gd,
讟,言言 yy,訁口 yk, wk,言賣ym｜言言yy,言言 ss,yf,,讠土 at,
騳,馬馬 mm,馬馬 mm,馬馬 mm,馬馬mm,馬馬 nn,cc,,一一 hh,
