#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
呵,口可 kk,口可 kk,口口 kk,口可kk,口可 dz,ks,口可 kk,口一 kh,口一kh
嗄,口夏 kx,口夂 kw,口夂 kw,口夏kx,口夊 dh,kd,口夂 kw,口一 kh,口一kh
錒,金可 jk,金可 jk,金可 jk,金阿ja,金可 zz,qb,,钅乛 jv,
𠼞,𠆢亞 ry,𠆢亞 ry,𠆢亞 ry,合亞hy,亼 jc,wg,,,
𥥩,宀口 bk,宀口 bk,宀口 bk,穴向xx,口 ed,pw,,,
𨉚,身电 ud,身电 ud,身电 ud,身奄uy,身乚 za,tm,,,
愛,爫夊 vw,爫夂 vw, pw,爫夊vw｜心夊xw,爫夂 yh,ep,,丿丶 pd,
捱,扌土 ft,扌土 ft,扌土 ft,扌厓fy,扌土 ug,rd,扌土 ft,扌一 fh,扌一fh
礙,石疑 uy,石疋 uz, ur,石疑uy,石疋 mt,dx,,一丿 hp,
娭,女矢 nu,女矢 nu,女矢 nu,女矣ny,女矢 bo,vc,,女乛 nv,
薆,艹夂 cw,艹夂 cw,艹夂 cw,艹愛ca,艹夂 lh,ae,,艹丶 cd,
靉,雨夂 yw,雨夂 yw,雨夂 yw,雲愛ya,⻗夂 th,ff,,一丿 hp,
曖,日夂 ow,日夂 ow,日夂 ow,日愛oa,日夂 oh,je,,日丿 lp,
欬,欠亥 qh,亠欠 wq, wr,欠亥qh,亥欠 ke,yn,,丶丿 dp,
餲,食曷 uh,飠人 ur, rv,食曷uh,飠亾 qf,"wp,wy",,人日 rl,
噯,口夂 kw,口夂 kw,口夂 kw,口愛ka,口夂 dh,ke,,口丿 kp,
敳,攵豈 wq,山攵 uw, ew,.wd｜攵豈wq,山攵 vh,mg,,丨丿 sp,
懓,忄夂 xw,忄夂 xw,忄夂 xw,心愛xa,忄夂 hh,ne,,忄丿 xp,
硙,石己 uj,石己 uj,石己 uj,石岂uq｜.uy,石己 mv,dm,石己 uj,一丨 hs,石山bg
僾,亻夂 rw,亻夂 rw,亻夂 rw,亻愛ra,亻夂 jh,we,,人丿 rp,
藹,艹謁 cy,艹人 cr, cv,艹曷ch｜艹謁cy,艹亾 lf,ay,,艹乛 cv,
溰,氵豈 dq,氵䒑 db, da,.dd｜氵豈dq,氵豆 kz,im,,氵丨 us,
焥,火㔾 hv,火㔾 hv,火㔾 hv,火宛hw,火⺋ cz,op,,火宀 qb,
嬡,女夂 nw,女夂 nw,女夂 nw,女愛na,女夂 bh,ve,,女丿 np,
懝,忄疑 xy,忄疋 xz, xr,忄疑xy,忄疋 ht,nx,,忄丿 xp,
瞹,目夂 ow,目夂 ow,目夂 ow,目愛oa,目夂 qh,he,,丨丿 sp,
諰,言思 ys,訁心 yx, wx,言思ys,言心 sh,yl,,讠丨 as,
隑,耳豈 eq,⻖䒑 eb, ea,.ed｜耳豈eq,阝豆 tz,bm,,乛丨 vs,
靄,雨謁 yy,雨人 yr,口夂 yv,雨曷yh｜雨謁yy,⻗亾 tf,fy,,一乛 hv,
凒,冫豈 dq,冫䒑 db, da,.dd｜冫豈dq,冫豆 wz,um,,丶丨 ds,
啀,口土 kt,口土 kt,口土 kt,口厓ky,口土 dg,kd,,口一 kh,
娾,女土 nt,女土 nt,女土 nt,.ny,女土 bg,vd,,女一 nh,
昹,日永 oy,日永 oy,日永 oy,日永oy,日 ok,jy,,日丶 ld,
溾,氵鬼 dg,氵鬼 dg,氵鬼 dg,氵鬼dg,氵鬼 ka,ir,,氵丿 up,
濭,点皿 dm,氵皿 dm,氵皿 dm,氵蓋dg｜.dm,氵皿 ka,ia,,氵艹 uc,
硋,石人 ur,石人 ur,石人 ur,石亥uh,石亥 mk,dy,,一丶 hd,
磑,石豈 uq,石䒑 ub, ua,.ud｜石豈uq,石豆 mz,dm,,一丨 hs,
銰,金乂 jx,金乂 jx,金乂 jx,金艾ja,金乂 zb,qa,,,
鎄,金哀 ja,金口 jk,金可 jy,金哀ja,金口 zd,qy,,钅丶 jd,
鑀,金夂 jw,金夂 jw,金夂 jw,金愛ja,金夂 zh,qe,,钅丿 jp,
㑸,亻可 rk,亻可 rk,亻可 rk,亻可rk,亻可 jz,wd,,,
㕌,厂寸 ic,厂寸 ic,厂寸 ic,.id,厂寸 xk,dj,,,
㗒,口哀 ka,口口 kk, ky,口哀ka,口口 dd,ky,,,
㗨,匚口 kk,匚口 kk,匚口 kk,.ky,匸口 nd,at,,,
㘷,土乂 tx,土乂 tx,土乂 tx,土艾ta,土乂 gb,fa,,,
㝶,⺫寸 sc,⺫寸 sc,⺫寸 sc,.cs,罒寸 yk,lq,,,
㢊,广可 gk,广可 gk,广可 gk,.gq,广可 xz,yd,,,
㤅,心无 xw,旡心 wx, ax,心{无}xw,旡心 dh,aq,,,
㱯,歹豈 dq,歹䒑 db,𠆢亞 da,歹豈dq,歹豆 gz,gq,,,
㿄,. by,疒殳 bu, by,.by,疒殳 ar,ua,,,
䀳,目束 ou,目束 ou,目束 ou,目束ou,目束 qx,hg,,,
䅬,禾皿 hm,禾皿 hm,禾皿 hm,禾益hy,禾皿 xa,tu,,,
䑂,⺼八 ob,⺼八 ob,⺼八 ob,月與oy,月 vh,ev,,,
䔽,艹渴 ck,艹人 cr, cv,艹渴ck,艹亾 lf,ai,,,
䝽,. by,貝土 bt, ot,.by,貝土 og,md,,,
䨠,雨曷 yh,雨人 yr, yv,雨曷yh,⻗亾 tf,fj,,,
䬵,食亥 uh,飠人 ur, rr,食亥uh,飠亥 qk,wy,,,
䶣,齒豈 iq,止䒑 vb, va,齒豈iq,齒豆 lz,hb,,,
伌,亻㔾 rv,亻㔾 rv,宀口 rv,亻厄re,亻⺋ jz,wd,,人一 rh,
嘊,口土 kt,口土 kt,口土 kt,口崖ky,口土 dg,km,,口丨 ks,
堨,土乛 tv,土人 tr, tv,土曷th,土亾 gf,fj,土乛 tv,土日 tl,土日tl
塧,土皿 tm,土皿 tm,土皿 tm,土益ty,土皿 ga,fu,,土丶 td,
壒,. tm,土皿 tm,土皿 tm,土蓋tg｜.tm,土皿 ga,fa,,土艹 tc,
嵦,山豈 uq,山䒑 ub, ea,.ud｜山豈uq,山豆 vz,mm,,丨丨 ss,
敱,. uy,山又 uy, ey,.pd｜.ud｜.uq｜.uy,山攴 vh,mg,,丨丨 ss,
璦,𤣩夂 ww,𤣩夂 ww,𤣩夂 ww,王愛wa,王夂 nh,ge,,王丿 wp,
皚,白豈 bq,白䒑 bb, ba,白豆bd｜白豈bq,白豆 uz,rm,,丿丨 ps,
皧,白夂 bw,白夂 bw,白夂 bw,白愛ba,白夂 uh,re,,丿丿 pp,
絠,糸有 sy,糹月 so,身电 yo,糸有sy,糹⺝ iv,xd,,纟一 ih,
譪,言葛 yg,訁人 yr, wv,言葛yg,言亾 sf,ya,,讠艹 ac,
譺,言疑 yy,訁疋 yz, wr,言疑yy,言疋 st,yx,,讠丿 ap,
賹,貝益 by,貝皿 bm, om,貝益by,貝皿 oa,mu,,丨丶 sd,
躷,身女 un,身女 un,身女 un,身委uw,身女 zb,tm,,丿禾 pe,
馤,香曷 xh,禾人 hr, hv,香曷xh,禾亾 xf,tj,,禾日 el,
鱫,魚愛 ya,魚夂 yw, aw,魚愛ya,魚夂 wh,qo,,丿丿 pp,
鴱,艹鳥 cn,艹鳥 cn,艹鳥 cn,鳥艾na,艹鳥 lx,aq,,艹丿 cp,
𠊎,亻土 rt,亻土 rt,亻土 rt,.ry｜亻圭rg,亻土 jg,wd,,,
𠳳,口木 km,口木 km,口木 km,口呆kd,口木 de,kk,,,
𡁍,嗐欠 hq,口欠 kq, kr,嗐欠hq,口欠 de,kp,,,
𡉓,土女 tn,土女 tn,土女 tn,土女tn,土女 gb,fv,,,
𡟓,女哀 na,女口 nk, ny,女哀na,女口 bd,vy,,,
𡰽,尸尤 uy,尸尤 uy,尸尤 uy,尸尤uy,尸尤 co,nd,,,
𡶃,山乙 uy,山乙 uv, ev,山乙uy,山乙 va,my,,,
𢟪,{艮}心 gx,{艮}心 gx,{艮}心 gx,心既xj｜既心jx,心 ih,vc,,,
𢟰,心豕 xu,忄𧰨 xu,忄𧰨 xu,.xy｜心豕xu,忄豕 hj,nu,,,
𢣏,忄皿 xm,忄皿 xm,忄皿 xm,心蓋xg,忄皿 ha,na,,,
𢣕,匕心 bx,匕心 bx,匕心 bx,心疑xy｜疑心yx,匕心 vh,xt,,,
𢰇,扌矢 fu,扌矢 fu,扌矢 fu,.fs,扌矢 uo,rw,,,
𣋞,日皿 om,日皿 om,扌土 om,日蓋og,日皿 oa,ja,,,
𣜬,木夂 mw,木夂 mw,木夂 mw,木愛ma,木夂 eh,se,,,
𣝅,木疑 my,木疋 mz, mr,木疑my,木疋 et,sx,,,
𣤃,匕乃 bn,匕乃 bn,匕乃 bn,匕乃bn｜欠乃qn,乃 vv,xf,,,
𣩄,歹皿 dm,歹皿 dm,歹皿 dm,.dg,歹皿 ga,gq,,,
𣩱,歹皿 dm,歹皿 dm,歹皿 dm,歹蓋dg,歹皿 ga,gq,,,
𤢵,犭厲 ql,犭丶 qd, qy,犭厲ql,犭⽱ mv,qt,,,
𤸖,疒哀 ba,疒口 bk, by,疒哀ba,疒口 ad,uy,,,
𤸳,疒豈 bq,疒䒑 bb, ba,疒豈bq,疒豆 az,um,,,
𤻢,疒又 by,疒又 by,疒又 by,疒又by,疒又 ar,ua,,,
𥡽,禾夂 hw,禾夂 hw, hw,禾夂hw,禾夊 xh,tq,,,
𥤦,宀又 by,宀又 by,女矢 by,穴又xy,穴又 er,pw,,,
𥴨,竹夂 vw,竹夂 vw,艹夂 vw,𥫗愛va,⺮夂 rh,te,,,
𦗍,耳方 ef,耳方 ef,雨夂 ef,耳旁ep,耳方 ql,bu,,,
𦗐,耳豕 eu,耳𧰨 eu,日夂 eu,.ey｜耳豕eu,耳豕 qj,bu,,,
𦤦,臭曷 ih,自人 zr, zv,臭曷ih,自亾 of,th,,,
𦥂,土土 tt,土土 tt,土土 tt,.vg｜土至tv｜至冂vk,土至 gy,ff,,,
𦥈,⺷土 yt,⺷土 yt,口夂 yt,䒑至qv｜至冖vb,羊至 gy,ud,,,
𦩴,舟豈 vq,舟䒑 vb, va,舟豈vq,舟豆 iz,te,,,
𧏹,虫豕 iu,虫𧰨 iu,忄夂 iu,.iy｜虫豕iu,虫豕 cj,ju,,,
𧓁,虫夂 iw,虫夂 iw,女矢 iw,虫愛ia,虫夂 ch,je,,,
𧡋,厂見 ij,厂見 ij, ie,.jy｜厂見ij｜見圭jg,厂見 xe,df,,,
𧪚,言豈 yq,訁䒑 yb, wa,言豈yq,言豆 sz,ym,,,
𧰿,豕乂 ux,豕乂 ux,豕乂 ux,豕艾ua,豕乂 jb,ea,,,
𧵨,貝安 ba,貝女 bn, on,貝安ba,貝女 ob,mp,,,
𨶂,門皿 mm,門皿 mm,門皿 mm,門益my,門皿 aa,uu,,,
𩂒,雨巳 ys,雨巳 ys,雨巳 ys,雨巳ys,巳 tv,fd,,,
𩂢,. yv,雨{水} yu, yn,.yv, tk,ft,,,
𩈋,面介 mj,面介 mj, ml,面介mj,面 bp,dm,,,
𩪂,骨豈 gq,冎䒑 gb, ga,骨豈gq,豆 fz,me,,,
𩫇,不口 bk,不口 bk,艹夂 bk,不高bg,不高 cg,gi,,,
𩮖,髟豈 iq,E䒑 eb, aa,髟豈iq,镸豆 pz,de,,,
𪇈,愛鳥 an,爫鳥 vn, pn,鳥愛na｜愛鳥an,爫鳥 yx,ep,,,
𪕭,鼠曷 uh,臼人 jr, jv,鼠曷uh,鼠亾 pf,vn,,,
广,丶厂 di,丶厂 di,丶厂 di,丶丿dp,广 xg,yy,亠丿 wp,丶丿 dp,广丿xp
厂,一丿 ap,一丿 ap,一丿 ap,一丿ap,厂 xc,dg,一丿 ap,一丿 hp,一丿hp
鮟,魚安 ya,魚女 yn, an,魚安ya,魚女 wb,qo,,丿宀 pb,
闇,門日 mo,門日 mo,門日 mo,門音my,門音 ax,uu,,丨日 sl,
厈,厂干 ig,厂干 ig,厂干 ig,厂干ig,厂干 xe,df,,一丨 hs,
菴,艹电 cd,艹电 cd,艹电 cd,艹电cd｜艹奄cy,艹乚 la,ad,,艹乛 cv,
晻,日电 od,日电 od,雨夂 od,日电od｜日奄oy,日乚 oa,jd,,日一 lh,
咹,口女 kn,口女 kn,口女 kn,口安ka,口女 db,kp,,口宀 kb,
鞌,. bg,宀革 bg,宀革 bg,.bg｜革安ga,宀革 wt,pv,,宀丨 bs,
荌,艹女 cn,艹女 cn,艹女 cn,艹安ca,艹女 lb,ap,,艹女 cn,
銨,金女 jn,金女 jn,金女 jn,金安ja,金女 zb,qp,,钅宀 jb,
啽,口廾 kc,口廾 kc,口廾 kc,口廾kc｜口弇ky,口廾 dl,kw,,口人 kr,
痷,疒电 bd,疒电 bd,疒电 bd,疒电bd｜疒奄by,疒乚 aa,ud,,丶乛 dv,
韽,𠆢日 ro,𠆢日 ro,𠆢日 ro,音酉yy,亽音 jx,wy,,人丶 rd,
萻,艹日 co,艹日 co,艹日 co,艹音cy,艹音 lx,au,,艹日 cl,
儑,亻灬 rh,亻灬 rh,亻灬 rh,亻絲rs,亻灬 jc,wj,,人日 rl,
媕,. nc,女廾 nc,日夂 nc,.nc｜女弇ny,女廾 bl,vw,,女人 nr,
峖,山安 ua,山女 un, en,山安ua,山女 vb,mp,,丨宀 sb,
堓,土干 tg,土干 tg,土干 tg,土岸ta,土干 ge,fm,,土丨 ts,
洝,氵女 dn,氵女 dn,氵女 dn,氵安da,氵女 kb,ip,,氵宀 ub,
盫,𠆢皿 rm,𠆢皿 rm,𠆢皿 rm,合皿hm｜皿酉my,亼皿 ja,wg,,人一 rh,
腤,⺼日 oo,⺼日 oo,⺼日 oo,月音oy,月音 vx,eu,,月丶 yd,
錌,金干 jg,金干 jg,金干 jg,金岸ja,金干 ze,qm,,钅丨 js,
隌,⻖日 eo,⻖日 eo,⻖日 eo,耳音ey,阝音 tx,bu,,乛丶 vd,
㜝,女酉 ny,女酉 ny,女酉 ny,女酉ny,女酉 by,vw,,,
㟁,. ua,山干 ug, eg,.ua,山干 ve,md,,,
㱘,厂止 iv,厂止 iv, iv,止厭vy,厂止 xs,dj,,,
㸩,牛干 ng,牜干 ng,牛干 ng,牛干ng,牜干 qe,tr,,,
㽢,田电 td,田电 td,田电 td,田奄ty,田乚 qa,ld,,,
䁆,目电 od,目电 od,目电 od,目奄oy,目乚 qa,hd,,,
䅁,宀禾 bh,宀禾 bh,宀禾 bh,禾安ha,宀禾 wx,pv,,,
䅖,禾电 hd,禾电 hd,禾电 hd,禾奄hy,禾乚 xa,td,,,
䎏,𠆢习 rx,𠆢习 rx,𠆢习 rx,羽含yh,亽羽 jz,wy,,,
䎨,耒电 ld,耒电 ld,耒电 ld,耒奄ly,耒乚 aa,di,,,
䜙,言㬎 yx,訁灬 yh, wh,言㬎yx,言灬 sc,yj,,,
䨄,隹酉 vy,𠆢{隹右} rv, rf,隹酉vy,亽隹 ju,wy,,,
䬓,風音 fy,風日 fo, jo,風音fy,⺇音 ox,mt,,,
䮗,馬干 mg,馬干 mg,馬干 mg,馬岸ma,馬干 ne,cm,,,
䯥,冎灬 gh,冎灬 gh," gh,mh",骨㬎gx,骨灬 fc,me,,,
侒,亻女 rn,亻女 rn,亻女 rn,亻安ra,亻女 jb,wp,,人宀 rb,
偣,亻日 ro,亻日 ro,亻日 ro,亻音ry,亻音 jx,wu,,人丶 rd,
屵,山厂 ui,山厂 ui, ei,山厂ui,山厂 vx,md,,丨丿 sp,
屽,山干 ug,山干 ug, eg,山干ug,山干 ve,mf,,丨一 sh,
揞,扌日 fo,扌日 fo,扌日 fo,扌音fy,扌音 ux,ru,扌日 fo,扌丶 fd,扌亠fw
玵,王甘 wg,𤣩甘 wg,王甘 wg,王甘wg,王甘 nz,ga,,王艹 wc,
罯,罒日 so,罒日 so,罒日 so,罒音sy,罒音 yx,lu,,丨日 sl,
葊,艹廾 cc,艹廾 cc,口夂 cc,艹廾cc｜艹弇cy,艹廾 ll,aw,,艹丨 cs,
蓭,艹电 cd,艹电 cd,艹电 cd,艹庵ca,艹乚 la,ay,,艹乛 cv,
裺,衤电 pd,衤电 pd,衤电 pd,衤电yd｜衤奄yy,衤乚 ta,pu,,丶一 dh,
誝,言含 yh,訁口 yk, wk,言含yh,言口 sd,yw,,讠人 ar,
諳,言音 yy,訁日 yo, wp,言音yy,言音 sx,yu,,讠丶 ad,
豻,豸干 vg,豸干 vg,豸干 vg,豸干vg,豸干 me,ee,,丿一 ph,
貋,豸干 vg,豸干 vg,豸干 vg,豸旱vh,豸干 me,ee,,丿日 pl,
雸,雨甘 yg,雨甘 yg,雨甘 yg,雨甘yg,⻗甘 tz,fa,,一一 hh,
馣,禾电 hd,禾电 hd,禾电 hd,.xd｜香奄xy,禾乚 xa,tj,,禾一 eh,
鵪,大鳥 dn,大鳥 dn,大鳥 dn,鳥电nd｜鳥奄ny,大鳥 mx,dj,,一丿 hp,
鶕,立鳥 ln,立鳥 ln,立鳥 ln,鳥音ny,音鳥 xx,uj,,丶丿 dp,
𠉬,亻厂 ri,亻厂 ri,亻厂 ri,亻厂ri,亻厂 jx,wk,,,
𠪚,厂攵 iw,厂攵 iw,厂攵 iw,厂敢ig,厂攵 xh,dn,,,
𠰑,口干 kg,口干 kg,口干 kg,.ka｜口干kg,口干 de,kd,,,
𠽪,口日 ko,口日 ko,口日 ko,.ka｜口音ky,口音 dx,ki,,,
𠿑,口心 kx,口心 kx,口心 kx,口感kg,口心 dh,kd,,,
𡎑,土彡 tp,土彡 tp,土彡 tp,土彦ty,土彡 ge,fu,,,
𡪁,宀口 bk,宀口 bk,宀口 bk,宀含bh,宀口 wd,pn,,,
𡪙,宀月 bo,宀月 bo,宀月 bo,安明am,宀月 wv,pv,,,
𡯏,尤斗 yd,尢斗 yd, yu,.wd｜尤斗yd,尢斗 oj,dn,,,
𡹼,山言 uy,山口 uk,忄夂 ek,.ey｜山言uy,山言 vs,md,,,
𡽜,山言 uy,山口 uk, ek,.ly｜山言uy,山言 vs,mt,,,
𢰍,扌火 fh,扌火 fh,扌火 fh,扌火fh,扌火 uc,ry,,,
𣆛,覀日 xo,覀日 xo,覀日 xo,日覀ox｜覀日xo,覀日 vo,sj,,,
𣚖,木电 md,木电 md,木电 md,.ma｜木奄my,木乚 ea,sa,,,
𣣚,奄欠 yq,大欠 dq, dr,欠奄qy｜奄欠yq,大欠 me,dj,,,
𣵱,氵王 dw,氵王 dw,氵王 dw,.dk｜氵壬dr,氵王 kn,ir,,,
𣽥,氵頇 dh,氵頁 dy, db,.dg｜氵頇dh,氵頁 kw,if,,,
𤃷,氵日 do,氵日 do,氵日 do,.da｜氵音dy,氵音 kx,iu,,,
𤜁,厶心 sx,厶心 sx,厶心 sx,牟感mg,厶心 kh,cr,,,
𤞿,犭犬 qq,犭犬 qq,犭犬 qq,犬犴qa,犭犬 mm,qt,,,
𤟉,犭干 qg,犭干 qg,犭干 qg,犭岸qa,犭干 me,qt,,,
𥏮,矢日 uo,矢日 uo, uo,矢音uy,矢音 ox,td,,,
𥦍,宀廾 bc,宀廾 bc, bc,.xg｜穴廾xc,廾 el,pw,,,
𥳬,竹黑 vh,竹灬 vh,火㔾 vh,竹黑vh,⺮黑 rp,tl,,,
𦺽,艹电 cd,艹电 cd,艹电 cd,.ca｜艹奄cy,⺿乚 la,aj,,,
𧖮,血日 xo,丿日 po, xo,血日xo,丿日 to,tl,,,
𧩸,言弇 yy,訁廾 yc,目夂 wc,言弇yy,言廾 sl,yw,,,
𧫥,言庵 ya,訁电 yd, wd,言庵ya,言乚 sa,yy,,,
𧫧,言酉 yy,訁酉 yy, wy,言酉yy,言酉 sy,yw,,,
𧮍,言音 yy,訁日 yo,亻夂 wo,.ya｜言音yy,言音 sx,yu,,,
𨲊,镸岸 ia,E干 eg, ag,镸岸ia,镸干 pe,dm,,,
𩅝,雨电 yd,雨电 yd,雨电 yd,雲奄yy,⻗乚 ta,ff,,,
𩈴,面日 mo,面日 mo,面日 mo,面音my,面音 bx,dm,,,
𩓤,岸頁 ay,山頁 uy, eb,頁岸ya｜岸頁ay,山頁 vw,md,,,
𩭢,髟岸 ia,E干 eg, ag,髟岸ia,镸干 pe,de,,,
𩹎,魚音 yy,魚日 yo, ao,魚音yy,魚音 wx,qo,,,
𪁟,𠆢鳥 rn,𠆢鳥 rn,𠆢鳥 rn,鳥含nh｜含鳥hn,亼鳥 jx,wy,,,
𪒠,黑敢 hg,{里}攵 lw, hw,黑敢hg,黑攵 ph,lf,,,
𪘒,止口 vk,止口 vk,止口 vk,齒含ih,齒口 ld,hb,,,
仰,亻卩 re,亻卩 re,亻卩 re,亻卩re｜亻卬ry,亻卩 jz,wq,亻卩 re,人丿 rp,人丿rp
骯,冎几 gj,冎几 gj,冎几 gj,骨亢gk,骨几 fo,me,,丨丶 sd,
枊,木卩 me,木卩 me,木卩 me,木卩me,木卩 ez,sq,,木丿 mp,
昻,日卩 oe,日卩 oe,日卩 oe,日卩oe｜日卭oq,日卩 oz,ja,,日丨 ls,
㦹,日戈 og,日戈 og,日戈 og,.gy,日戈 op,jg,,,
㭿,木卩 me,木卩 me,木卩 me,木昂ma,木卩 ez,sj,,,
㼜,央瓦 yw,央瓦 yw,央瓦 yw,瓦央wy,瓦 mr,md,,,
䀚,目卩 oe,目卩 oe,目卩 oe,目卬oa,目卩 qz,hq,,,
䍩,羊攵 yw,{羊}攵 yw,{羊}攵 yw,羊攵yw,⺶攵 gh,ud,,,
䒢,艹卩 ce,艹卩 ce,艹卩 ce,艹卬ca,艹卩 lz,aq,,,
䩕,革卩 ge,革卩 ge, ge,革卬ga,革卩 tz,af,,,
䭹,馬卩 me,馬卩 me,馬卩 me,馬卬ma,馬卩 nz,cq,,,
䭺,馬几 mj,馬几 mj,馬几 mj,馬亢mk,馬几 no,cy,,,
岇,. ue,山卩 ue, ee,.ue｜.uy,山卩 vz,mq,,丨丨 ss,
醠,酉皿 ym,酉皿 ym,一皿 ym,酉盎ya,酉皿 ya,sg,,一丨 hs,
𠵫,口卩 ke,口卩 ke,口卩 ke,口昂ka,口卩 dz,kj,,,
𠹃,󰃏󰀿󰂝󰃕 km,口皿 km,口皿 km,口盎ka,口皿 da,km,,,
𡕉,吉口 jk,士口 tk, uk,吉口jk,士凵 gm,fk,,,
𡵙,山卬 ua,山卩 ue, ee,山卬ua,山卩 vz,mq,,,
𢓋,彳卬 xa,彳卩 re, ie,彳卬xa,彳卩 wz,tq,,,
𣉗,日皿 om,日皿 om,火㔾 om,日盎oa,日皿 oa,jm,,,
𣖮,木皿 mm,木皿 mm,木皿 mm,木盎ma,木皿 ea,sm,,,
𤭒,良瓦 lw,良瓦 lw, gw,良瓦lw｜丶瓦dw,丶瓦 ir,yv,,,
𦫫,翁色 ws,公巴 gb, bb,色翁sw｜翁色ws,巴 hm,wc,,,
𨋕,車卩 ie,車卩 ie,車卩 ie,車卬ia,車卩 yz,lq,,,
𩉰,革巾 gj,革巾 gj,革巾 gj,.gz｜革巾gj,革巾 tr,af,,,
𩑝,卬頁 ay,丿頁 py, pb,頁卬ya｜卬頁ay,頁 bw,qb,,,
𩔘,勇頁 yy,龴頁 sy, sb,勇頁yy,龴頁 kw,ce,,,
𩜟,飠昂 ua,飠卩 ue, re,飠昂ua,卩 qz,wy,,,
艹,一〢 al,一〢 al,一〢 al,丨一aa｜{艹}ck,艹 lc,"ag,zz",,艹丨 cs,艹丨cs
奧,丿大 pd,丿大 pd,女夂 pd,大釆db｜丿大pd,丿大 tm,tm,,丿丶 pd,
嚣,口口 kk,口口 kk,口口 kk,口口kk｜页口yk,口口 dd,kk,口口 kk,口口 kk,口口kk
獓,. qw,犭攵 qw,犭攵 qw,犭敖qa｜.qw,犭攵 mh,qt,,丿一 ph,
爊,火灬 hh,火灬 hh,火灬 hh,火麃hb｜火灬hh,火灬 cc,oy,,火丶 qd,
垇,土凹 ta,土凹 ta,土凹 ta,土凹ta,土一 gf,fm,土凹 ta,土丨 ts,
鼇,黽攵 mw,龶电 fd, fv,黽敖ma｜黽攵mw,龶黽 ad,gq,,一一 hh,
隞,. ew,⻖攵 ew,⻖攵 ew,耳敖ea｜.ew,阝攵 th,bg,,乛一 vh,
墺,土大 td,土大 td,土大 td,土奥ta,土大 gm,ft,,土丿 tp,
泑,氵力 dl,氵力 dl,氵力 dl,氵幼dy,氵力 ks,ix,,氵纟 ui,
熝,火鹿 hl,火鹿 hl, hb,火鹿hl,火鹿 cx,oy,,火丶 qd,
滶,氵攵 dw,氵攵 dw, dw,氵敖da｜氵攵dw,氵攵 kh,ig,,氵一 uh,
芺,艹夭 cy,艹夭 cy,艹夭 cy,艹夭cy,艹大 lm,at,,艹丶 cd,
抝,扌𠃌 fv,扌𠃌 fv,扌𠃌 fv,扌幻fh,扌㇆ ua,rx,,扌纟 fi,
襖,衤大 pd,衤大 pd,衤大 pd,衤奥ya,衤大 tm,pu,,丶丿 dp,
鏕,金鹿 jl,金鹿 jl, jb,金鹿jl,金鹿 zx,qy,,钅丶 jd,
厫,. iw,厂攵 iw,厂攵 iw,厂敖ia｜.iw,厂攵 xh,dg,,一丶 hd,
慠,. xw,忄攵 xw,忄攵 xw,忄敖xa｜.xw,忄攵 hh,ng,,忄一 xh,
翺,自习 zx,自习 zx,自习 zx,.yg｜.yu,自羽 oz,th,,,
謷,龶口 fk,龶口 fk,龶口 fk,言敖ya｜言攵yw,龶言 as,gq,,一讠 ha,
軪,車力 il,車力 il,車力 il,車幼iy,車力 ys,lx,,一纟 hi,
扷,扌夭 fy,扌夭 fy,目夂 fy,扌夭fy,扌大 um,rt,,扌丿 fp,
澚,氵粤 dy,氵丂 dk, dv,氵粤dy,氵ㄅ ka,it,,氵丿 up,
鰲,魚攵 yw,龶魚 fy, fa,魚敖ya｜魚攵yw,龶魚 aw,gq,,一火 hq,
㑃,亻力 rl,亻力 rl,亻力 rl,亻幼ry,亻力 js,wx,,,
㕭,口夭 ky,口夭 ky,口夭 ky,口夭ky,口大 dm,kt,,,
㘬,土勾 tg,土勾 tg, ts,土勾tg,土厶 gk,fq,,,
㘭,土𠃌 tv,土𠃌 tv,土𠃌 tv,土幻th,土㇆ ga,fx,,,
㜜,女攵 nw,女攵 nw,女攵 nw,女敖na,女攵 bh,vg,,,
㜩,女大 nd,女大 nd,女大 nd,女奥na,女大 bm,vt,,,
㟼,山敖 ua,山攵 uw, ew,山敖ua,山攵 vh,mg,,,
㠂,山敖 ua,山攵 uw, ew,山敖ua,山攵 vh,mg,,,
㠗,山奥 ua,山大 ud, ed,山奥ua,山大 vm,mt,,,
㤇,心夭 xy,忄夭 xy,忄夭 xy,心夭xy,忄大 hm,nt,,,
㥿,龶心 fx,龶心 fx,龶心 fx,心敖xa,龶心 ah,gq,,,
㿰,皮交 pj,亠皮 wp, wy,皮交pj,六皮 ar,uq,,,
䐿,⺼大 od,⺼大 od,⺼大 od,月奥oa,月大 vm,et,,,
䚫,白用 by,白用 by,白用 by,角敫jj,白用 ut,ry,,,
䜒,言奥 ya,訁大 yd, wd,言奥ya,言大 sm,yt,,,
䞝,土玉 ty,土玉 ty,土玉 ty,走玉zy,走丶 pi,fh,,,
䥝,金匕 jb,金匕 jb,金匕 jb,金麀jy,金匕 zv,qy,,,
䦋,镸敖 ia,E攵 ew, aw,镸敖ia,镸攵 ph,dg,,,
䫨,頁敖 ya,龶頁 fy, fb,頁敖ya,龶頁 aw,gq,,,
䮯,馬攵 mw,馬攵 mw,馬攵 mw,馬敖ma,馬攵 nh,cg,,,
䯠,冎皿 gm,冎皿 gm,冎皿 gm,.gw,骨皿 fa,me,,,
